zone_id,zone_name,school_type,shade_score,lat,lon,area_m2
252,General Zone 252,General,0.49850977286019255,37.429587556881465,-122.18598622275258,3.98049999918809e-09
253,General Zone 253,General,0.5451136671516857,37.42697760990657,-122.17909524167106,9.454999998939498e-10
254,General Zone 254,General,0.4916922005156278,37.43082669032674,-122.16154164644574,1.843709500245668e-08
255,General Zone 255,General,0.47694927466860926,37.42876896817821,-122.15613424765311,1.1731999999730588e-08
256,General Zone 256,General,0.515680126245835,37.4357235190199,-122.17975644483627,8.24426000034218e-09
257,General Zone 257,General,0.5536154774160781,37.43376279581152,-122.15891984525888,2.8650000005078293e-09
258,General Zone 258,General,0.5296029796674973,37.43469156594203,-122.18017312028985,2.7600000002102457e-09
259,General Zone 259,General,0.5170061170089365,37.42885,-122.17882599999997,4.303800000123483e-08
260,Carpenters Shop (09-135),General,0.46971764937707683,37.42815144208288,-122.15733944911341,1.230350000016658e-08
261,General Zone 261,General,0.521500722669917,37.424363042170235,-122.17937464866547,9.192899999937901e-08
262,General Zone 262,General,0.5590053850104263,37.430779116234994,-122.15611305026863,3.580767499951336e-08
263,General Zone 263,General,0.4740084015236524,37.42448585886868,-122.18007953097,9.218599999960895e-08
264,General Zone 264,General,0.5118329652363737,37.4297258812461,-122.15509691082765,4.053200000001201e-08
265,General Zone 265,General,0.5477373071927956,37.43473578955612,-122.17960610459369,7.165454999813456e-09
266,General Zone 266,General,0.5340768617754205,37.43499403565996,-122.16260497774772,5.916999999417698e-09
267,General Zone 267,General,0.5297015740995268,37.42803579408624,-122.15840819988462,1.733249999979078e-08
268,General Zone 268,General,0.5302484083987109,37.43326203596263,-122.16084926282053,6.136000000205452e-09
269,General Zone 269,General,0.49594911512197554,37.42728877374955,-122.18000325373062,7.047500000065027e-09
270,Storage Shed (09-150),General,0.4893591844264493,37.42799416744015,-122.15752048987109,9.050000000785598e-09
271,General Zone 271,General,0.5409361155478514,37.43538857993517,-122.16036259062732,5.86099999959389e-09
272,Fire Training Tower (09-210),General,0.5410113394679181,37.42780454327167,-122.15852635131878,3.5955000001587093e-09
273,General Zone 273,General,0.5467072318580104,37.43427797091362,-122.16382683295738,1.5517000000399686e-08
